label,description,ROI
142,Dorsal_Transitional_Visual_Area,DVT
143,Area_PGp,PGp
144,Area_IntraParietal_2,IP2
145,Area_IntraParietal_1,IP1
146,Area_IntraParietal_0,IP0
147,Area_PF_Opercular,PFop
148,Area_PF_Complex,PF
149,Area_PFm_Complex,PFm
150,Area_PGi,PGi
151,Area_PGs,PGs
152,Area_V6A,V6A
153,VentroMedial_Visual_Area_1,VMV1
154,VentroMedial_Visual_Area_3,VMV3
155,ParaHippocampal_Area_2,PHA2
156,Area_V4t,V4t
157,Area_FST,FST
158,Area_V3CD,V3CD
159,Area_Lateral_Occipital_3,LO3
160,VentroMedial_Visual_Area_2,VMV2
161,Area_31pd,31pd
162,Area_31a,31a
163,Ventral_Visual_Complex,VVC
164,Area_25,25
165,Area_s32,s32
166,Posterior_OFC_Complex,pOFC
167,Area_Posterior_Insular_1,PoI1
168,Insular_Granular_Complex,Ig
169,Area_Frontal_Opercular_5,FOP5
170,Area_Posterior_10p,p10p
171,Area_Posterior_47r,p47r
172,Area_TG_ventral,TGv
173,Medial_Belt_Complex,MBelt
174,Lateral_Belt_Complex,LBelt
175,Auditory_4_Complex,A4
176,Area_STSv_Anterior,STSva
177,Area_TE1_Middle,TE1m
178,Para-Insular_Area,PI
179,Area_Anterior_32_Prime,a32pr
180,Area_Posterior_24,p24
